Store,Item,Date,Weekly_Demand
2,6,2010-10-24,66
2,6,2010-10-31,63
2,6,2010-11-07,55
2,6,2010-11-14,62
2,6,2010-11-21,64
2,6,2010-11-28,59
2,6,2010-12-05,79
2,6,2010-12-12,78
2,6,2010-12-19,74
2,6,2010-12-26,57
2,6,2011-01-02,62
2,6,2011-01-09,76
2,6,2011-01-16,79
2,6,2011-01-23,91
2,6,2011-01-30,93
2,6,2011-02-06,89
2,6,2011-02-13,63
2,6,2011-02-20,100
2,6,2011-02-27,76
2,6,2011-03-06,82
2,6,2011-03-13,65
2,6,2011-03-20,87
2,6,2011-03-27,70
2,6,2011-04-03,73
2,6,2011-04-10,72
2,6,2011-04-17,75
2,6,2011-04-24,58
2,6,2011-05-01,65
2,6,2011-05-08,65
2,6,2011-05-15,69
2,6,2011-05-22,78
2,6,2011-05-29,59
2,6,2011-06-05,51
2,6,2011-06-12,47
2,6,2011-06-19,66
2,6,2011-06-26,70
2,6,2011-07-03,52
2,6,2011-07-10,52
2,6,2011-07-17,55
2,6,2011-07-24,64
2,6,2011-07-31,56
2,6,2011-08-07,54
2,6,2011-08-14,62
2,6,2011-08-21,62
2,6,2011-08-28,65
2,6,2011-09-04,84
2,6,2011-09-11,62
2,6,2011-09-18,78
2,6,2011-09-25,80
2,6,2011-10-02,73
2,6,2011-10-09,78
2,6,2011-10-16,95
2,6,2011-10-23,76
2,6,2011-10-30,65
2,6,2011-11-06,87
2,6,2011-11-13,78
2,6,2011-11-20,86
2,6,2011-11-27,65
2,6,2011-12-04,86
2,6,2011-12-11,73
2,6,2011-12-18,90
2,6,2011-12-25,59
2,6,2012-01-01,77
2,6,2012-01-08,83
2,6,2012-01-15,97
2,6,2012-01-22,89
2,6,2012-01-29,96
2,6,2012-02-05,90
2,6,2012-02-12,80
2,6,2012-02-19,90
2,6,2012-02-26,95
2,6,2012-03-04,73
2,6,2012-03-11,88
2,6,2012-03-18,61
2,6,2012-03-25,91
2,6,2012-04-01,81
2,6,2012-04-08,72
2,6,2012-04-15,88
2,6,2012-04-22,84
2,6,2012-04-29,76
2,6,2012-05-06,71
2,6,2012-05-13,72
2,6,2012-05-20,70
2,6,2012-05-27,77
2,6,2012-06-03,66
2,6,2012-06-10,95
2,6,2012-06-17,77
2,6,2012-06-24,75
2,6,2012-07-01,70
2,6,2012-07-08,71
2,6,2012-07-15,63
2,6,2012-07-22,71
2,6,2012-07-29,79
2,6,2012-08-05,68
2,6,2012-08-12,89
2,6,2012-08-19,80
2,6,2012-08-26,79
2,6,2012-09-02,81
2,6,2012-09-09,87
2,6,2012-09-16,90
2,6,2012-09-23,95
2,6,2012-09-30,84
2,6,2012-10-07,89
2,6,2012-10-14,77
2,6,2012-10-21,93
2,6,2012-10-28,78
2,7,2010-02-07,33
2,7,2010-02-14,84
2,7,2010-02-21,48
2,7,2010-02-28,65
2,7,2010-03-07,28
2,7,2010-03-14,23
2,7,2010-03-21,33
2,7,2010-03-28,44
2,7,2010-04-04,68
2,7,2010-04-11,44
2,7,2010-04-18,17
2,7,2010-04-25,28
2,7,2010-05-02,29
2,7,2010-05-09,58
2,7,2010-05-16,28
2,7,2010-05-23,39
2,7,2010-05-30,55
2,7,2010-06-06,65
2,7,2010-06-13,24
2,7,2010-06-20,73
2,7,2010-06-27,57
2,7,2010-07-04,39
2,7,2010-07-11,65
2,7,2010-07-18,70
2,7,2010-07-25,33
2,7,2010-08-01,50
2,7,2010-08-08,53
2,7,2010-08-15,38
2,7,2010-08-22,59
2,7,2010-08-29,54
2,7,2010-09-05,81
2,7,2010-09-12,52
2,7,2010-09-19,26
2,7,2010-09-26,25
2,7,2010-10-03,36
2,7,2010-10-10,31
2,7,2010-10-17,44
2,7,2010-10-24,43
2,7,2010-10-31,83
2,7,2010-11-07,45
2,7,2010-11-14,44
2,7,2010-11-21,64
2,7,2010-11-28,34
2,7,2010-12-05,39
2,7,2010-12-12,66
2,7,2010-12-19,67
2,7,2010-12-26,41
2,7,2011-01-02,44
2,7,2011-01-09,70
2,7,2011-01-16,62
2,7,2011-01-23,36
2,7,2011-01-30,64
2,7,2011-02-06,58
2,7,2011-02-13,39
2,7,2011-02-20,40
2,7,2011-02-27,53
2,7,2011-03-06,100
2,7,2011-03-13,66
2,7,2011-03-20,52
2,7,2011-03-27,43
2,7,2011-04-03,29
2,7,2011-04-10,76
2,7,2011-04-17,99
2,7,2011-04-24,29
2,7,2011-05-01,24
2,7,2011-05-08,35
2,7,2011-05-15,44
2,7,2011-05-22,60
2,7,2011-05-29,45
2,7,2011-06-05,44
2,7,2011-06-12,22
2,7,2011-06-19,43
2,7,2011-06-26,49
2,7,2011-07-03,32
2,7,2011-07-10,32
2,7,2011-07-17,47
2,7,2011-07-24,36
2,7,2011-07-31,38
2,7,2011-08-07,50
2,7,2011-08-14,46
2,7,2011-08-21,37
2,7,2011-08-28,49
2,7,2011-09-04,49
2,7,2011-09-11,18
2,7,2011-09-18,46
2,7,2011-09-25,46
2,7,2011-10-02,46
2,7,2011-10-09,32
2,7,2011-10-16,75
2,7,2011-10-23,63
2,7,2011-10-30,62
2,7,2011-11-06,57
2,7,2011-11-13,73
2,7,2011-11-20,44
2,7,2011-11-27,34
2,7,2011-12-04,48
2,7,2011-12-11,44
2,7,2011-12-18,47
2,7,2011-12-25,87
2,7,2012-01-01,67
2,7,2012-01-08,50
2,7,2012-01-15,52
2,7,2012-01-22,52
2,7,2012-01-29,49
2,7,2012-02-05,53
2,7,2012-02-12,61
2,7,2012-02-19,94
2,7,2012-02-26,52
2,7,2012-03-04,84
2,7,2012-03-11,64
2,7,2012-03-18,25
2,7,2012-03-25,33
2,7,2012-04-01,61
2,7,2012-04-08,44
2,7,2012-04-15,42
2,7,2012-04-22,50
2,7,2012-04-29,73
2,7,2012-05-06,47
2,7,2012-05-13,53
2,7,2012-05-20,23
2,7,2012-05-27,29
2,7,2012-06-03,20
2,7,2012-06-10,50
2,7,2012-06-17,50
2,7,2012-06-24,56
2,7,2012-07-01,44
2,7,2012-07-08,38
2,7,2012-07-15,66
2,7,2012-07-22,50
2,7,2012-07-29,50
2,7,2012-08-05,33
2,7,2012-08-12,45
2,7,2012-08-19,54
2,7,2012-08-26,59
2,7,2012-09-02,25
2,7,2012-09-09,35
2,7,2012-09-16,49
2,7,2012-09-23,46
2,7,2012-09-30,56
2,7,2012-10-07,61
2,7,2012-10-14,47
2,7,2012-10-21,84
2,7,2012-10-28,40
2,8,2010-02-07,15
2,8,2010-02-14,40
2,8,2010-02-21,40
2,8,2010-02-28,44
2,8,2010-03-07,54
2,8,2010-03-14,42
2,8,2010-03-21,44
2,8,2010-03-28,36
2,8,2010-04-04,39
2,8,2010-04-11,42
2,8,2010-04-18,32
2,8,2010-04-25,24
2,8,2010-05-02,43
2,8,2010-05-09,23
2,8,2010-05-16,27
2,8,2010-05-23,26
2,8,2010-05-30,18
2,8,2010-06-06,23
2,8,2010-06-13,23
2,8,2010-06-20,21
2,8,2010-06-27,17
2,8,2010-07-04,22
2,8,2010-07-11,25
2,8,2010-07-18,24
2,8,2010-07-25,24
2,8,2010-08-01,37
2,8,2010-08-08,21
2,8,2010-08-15,27
2,8,2010-08-22,25
2,8,2010-08-29,16
2,8,2010-09-05,24
2,8,2010-09-12,16
2,8,2010-09-19,27
2,8,2010-09-26,28
2,8,2010-10-03,18
2,8,2010-10-10,18
2,8,2010-10-17,19
2,8,2010-10-24,24
2,8,2010-10-31,32
2,8,2010-11-07,22
2,8,2010-11-14,24
2,8,2010-11-21,19
2,8,2010-11-28,26
2,8,2010-12-05,32
2,8,2010-12-12,22
2,8,2010-12-19,100
2,8,2010-12-26,35
2,8,2011-01-02,27
2,8,2011-01-09,31
2,8,2011-01-16,26
2,8,2011-01-23,32
2,8,2011-01-30,28
2,8,2011-02-06,34
2,8,2011-02-13,42
2,8,2011-02-20,34
2,8,2011-02-27,35
2,8,2011-03-06,43
2,8,2011-03-13,48
2,8,2011-03-20,43
2,8,2011-03-27,41
2,8,2011-04-03,39
2,8,2011-04-10,39
2,8,2011-04-17,46
2,8,2011-04-24,31
2,8,2011-05-01,35
2,8,2011-05-08,57
2,8,2011-05-15,43
2,8,2011-05-22,35
